URL,Lang,Material,RecordNumb,RepCategory,ValidityArea
"https://zsds3.zepinc.com/v2/sds/ItemExternalSet(Material='AF5367F',RecordNumb='450684',Lang='EN',RepCategory='MSDS',ValidityArea='US')/getPDF",EN,AF5367F,450684,MSDS,US
"https://zsds3.zepinc.com/v2/sds/ItemExternalSet(Material='AF5368B',RecordNumb='450078',Lang='EN',RepCategory='DISC2',ValidityArea='ZCAL')/getPDF",EN,AF5368B,450078,DISC2,ZCAL
"https://zsds3.zepinc.com/v2/sds/ItemExternalSet(Material='AF5368B',RecordNumb='450090',Lang='FR',RepCategory='MSDS',ValidityArea='CA')/getPDF",FR,AF5368B,450090,MSDS,CA
"https://zsds3.zepinc.com/v2/sds/ItemExternalSet(Material='AF5368B',RecordNumb='450083',Lang='EN',RepCategory='MSDS',ValidityArea='US')/getPDF",EN,AF5368B,450083,MSDS,US
"https://zsds3.zepinc.com/v2/sds/ItemExternalSet(Material='AF5368E',RecordNumb='450078',Lang='EN',RepCategory='DISC2',ValidityArea='ZCAL')/getPDF",EN,AF5368E,450078,DISC2,ZCAL
"https://zsds3.zepinc.com/v2/sds/ItemExternalSet(Material='AF5368E',RecordNumb='450090',Lang='FR',RepCategory='MSDS',ValidityArea='CA')/getPDF",FR,AF5368E,450090,MSDS,CA
"https://zsds3.zepinc.com/v2/sds/ItemExternalSet(Material='AF5368E',RecordNumb='450083',Lang='EN',RepCategory='MSDS',ValidityArea='US')/getPDF",EN,AF5368E,450083,MSDS,US
"https://zsds3.zepinc.com/v2/sds/ItemExternalSet(Material='AF5368F',RecordNumb='450078',Lang='EN',RepCategory='DISC2',ValidityArea='ZCAL')/getPDF",EN,AF5368F,450078,DISC2,ZCAL
"https://zsds3.zepinc.com/v2/sds/ItemExternalSet(Material='AF5368F',RecordNumb='450090',Lang='FR',RepCategory='MSDS',ValidityArea='CA')/getPDF",FR,AF5368F,450090,MSDS,CA
"https://zsds3.zepinc.com/v2/sds/ItemExternalSet(Material='AF5368F',RecordNumb='450083',Lang='EN',RepCategory='MSDS',ValidityArea='US')/getPDF",EN,AF5368F,450083,MSDS,US
"https://zsds3.zepinc.com/v2/sds/ItemExternalSet(Material='AF5369F',RecordNumb='449871',Lang='EN',RepCategory='MSDS',ValidityArea='US')/getPDF",EN,AF5369F,449871,MSDS,US
"https://zsds3.zepinc.com/v2/sds/ItemExternalSet(Material='AF5369NSA',RecordNumb='449871',Lang='EN',RepCategory='MSDS',ValidityArea='US')/getPDF",EN,AF5369NSA,449871,MSDS,US
"https://zsds3.zepinc.com/v2/sds/ItemExternalSet(Material='AF5373E',RecordNumb='449787',Lang='EN',RepCategory='MSDS',ValidityArea='US')/getPDF",EN,AF5373E,449787,MSDS,US
"https://zsds3.zepinc.com/v2/sds/ItemExternalSet(Material='AF5373T',RecordNumb='449787',Lang='EN',RepCategory='MSDS',ValidityArea='US')/getPDF",EN,AF5373T,449787,MSDS,US
